policy,endorser,endorser_code,n_control,n_treatment,alpha,treatment_mean,beta,se_ate,var_control,var_treatment,var_predicted_binary,p_binary_switching,p_binary_no_baseline,p_symmetric,p_normal,p_extreme_opponent
Polio,Kashmiri militants,b,2662,634,0.8287002253944402,0.8138801261829653,-0.014820099211474869,0.010598196285302678,0.058300376843241186,0.057326784975655465,0.15147926638736575,0.8138801261829653,0.49258995039426257,0.3517990078852513,0.38346155508996704,0.9851799007885251
Polio,Afghan Taliban,c,2662,648,0.8287002253944402,0.8016975308641975,-0.027002694530242732,0.010969630431467335,0.058300376843241186,0.06378382181769611,0.1589785998704466,0.8016975308641975,0.48649865273487863,0.22997305469757268,0.2945799340354254,0.9729973054697573
Polio,Al-Qaeda,d,2662,634,0.8287002253944402,0.8257097791798107,-0.0029904462146295163,0.010767659322593971,0.058300376843241186,0.0596223232217521,0.14391313974663894,0.8257097791798107,0.49850477689268524,0.47009553785370484,0.47615390887274434,0.9970095537853705
Polio,Sectarian groups,e,2662,634,0.8287002253944402,0.8103312302839116,-0.018368995110528585,0.010855687263467157,0.058300376843241186,0.060829116021548786,0.1536945275104738,0.8103312302839116,0.4908155024447357,0.31631004889471415,0.3566678304023726,0.9816310048894714
FCR,Kashmiri militants,b,2656,646,0.7003953313253012,0.6873065015479877,-0.013088829777313515,0.012069405724135972,0.08197818640380733,0.0741642066863465,0.2149162744778537,0.6873065015479877,0.49345558511134324,0.36911170222686485,0.3967468420310244,0.9869111702226865
FCR,Afghan Taliban,c,2656,644,0.7003953313253012,0.6595496894409938,-0.04084564188430739,0.012739010171448963,0.08197818640380733,0.08463261183505115,0.22454389659928242,0.6595496894409938,0.4795771790578463,0.09154358115692607,0.20698912041916906,0.9591543581156926
FCR,Al-Qaeda,d,2656,628,0.7003953313253012,0.6735668789808917,-0.026828452344409448,0.01310359888146565,0.08197818640380733,0.08844690620587368,0.21987453852083247,0.6735668789808917,0.4865857738277953,0.23171547655590552,0.2957826648947314,0.9731715476555906
FCR,Sectarian groups,e,2656,638,0.7003953313253012,0.6892633228840125,-0.011132008441288699,0.012573782302210717,0.08197818640380733,0.08117575158831317,0.21417939461090205,0.6892633228840125,0.49443399577935565,0.388679915587113,0.4119077854000479,0.9888679915587113
Durand,Kashmiri militants,b,2651,634,0.6732365145228216,0.6648264984227129,-0.00841001610010872,0.014055648167373043,0.10245420026618648,0.10075139165059478,0.22283222541770742,0.6648264984227129,0.49579499194994564,0.4158998389989128,0.4332128438166434,0.9915899838998913
Durand,Afghan Taliban,c,2651,636,0.6732365145228216,0.6749213836477987,0.0016848691249771175,0.013680569842226119,0.10245420026618648,0.09445274971524785,0.2194025095427396,0.6749213836477987,0.5008424345624886,0.5168486912497712,0.5134407668742328,1.0016848691249771
Durand,Al-Qaeda,d,2651,651,0.6732365145228216,0.6566820276497696,-0.016554486873052054,0.014172772255351372,0.10245420026618648,0.10560528181495923,0.22545074221155684,0.6566820276497696,0.491722756563474,0.33445513126947946,0.370288351608963,0.983445513126948
Durand,Sectarian groups,e,2651,640,0.6732365145228216,0.684765625,0.011529110477178417,0.013878348608131592,0.10245420026618648,0.09853515624999999,0.21586166381835936,0.684765625,0.5057645552385892,0.6152911047717842,0.5911803050348687,1.0115291104771784
Curriculum,Kashmiri militants,b,2650,641,0.740754716981132,0.732839313572543,-0.007915403408589095,0.012817253659767942,0.08532408099888174,0.08466598820202809,0.19578585405506702,0.732839313572543,0.49604229829570545,0.42084596591410905,0.4371070254158216,0.9920845965914109
Curriculum,Afghan Taliban,c,2650,634,0.740754716981132,0.73698738170347,-0.003767335277662043,0.013218908072589415,0.08532408099888174,0.09037147851351285,0.19383698091333382,0.73698738170347,0.498116332361169,0.46232664722337957,0.4699694307048867,0.996232664722338
Curriculum,Al-Qaeda,d,2650,647,0.740754716981132,0.731839258114374,-0.008915458866758041,0.012807256009096357,0.08532408099888174,0.08529274192390696,0.19625055839697667,0.731839258114374,0.495542270566621,0.4108454113324196,0.42924008591943863,0.991084541133242
Curriculum,Sectarian groups,e,2650,640,0.740754716981132,0.72578125,-0.014973466981132,0.013075298803122774,0.08532408099888174,0.08881003032081378,0.19902282714843747,0.72578125,0.492513266509434,0.35026533018868,0.3822909813143215,0.985026533018868
